Date,Region,Product,Sales,Profit,Quantity
2024-11-17,South,Beta,4002.96,439.24,50
2024-11-24,East,Alpha,5752.95,705.98,17
2024-12-01,West,Beta,7048.57,1204.89,44
2024-12-08,North,Beta,3551.02,290.21,46
2024-12-15,South,Alpha,5701.56,535.54,13
2024-12-22,East,Delta,5911.86,505.58,54
2024-12-29,West,Gamma,6538.19,555.01,31
2025-01-05,North,Delta,4115.66,751.75,6
2025-01-12,South,Gamma,4015.45,660.3,9
2025-01-19,East,Beta,6226.33,852.39,33
2025-01-26,West,Delta,5956.38,546.44,41
2025-02-02,North,Alpha,5900.59,820.15,42
2025-02-09,South,Alpha,6015.74,823.05,23
2025-02-16,East,Alpha,4783.97,482.15,12
2025-02-23,West,Alpha,5878.7,776.35,52
2025-03-02,North,Alpha,6071.69,776.09,49
2025-03-09,South,Alpha,4862.78,748.39,5
2025-03-16,East,Gamma,7958.93,1243.27,26
2025-03-23,West,Alpha,6288.6,537.28,56
2025-03-30,North,Alpha,4290.44,536.11,21
2025-04-06,South,Beta,6507.86,1009.39,11
2025-04-13,East,Alpha,4550.38,638.77,29
2025-04-20,West,Gamma,6664.5,1218.13,49
2025-04-27,North,Alpha,7110.31,1130.85,8
2025-05-04,South,Delta,4735.18,471.4,40
2025-05-11,East,Gamma,6996.05,618.93,10
2025-05-18,West,Alpha,6335.34,995.22,35
2025-05-25,North,Alpha,6826.47,567.84,23
2025-06-01,South,Gamma,8116.15,1219.8,48
2025-06-08,East,Gamma,5545.53,1069.33,58
2025-06-15,West,Gamma,4935.52,735.67,43
2025-06-22,North,Gamma,4772.58,604.12,31
2025-06-29,South,Alpha,4861.03,764.13,14
2025-07-06,East,Alpha,5747.48,775.85,30
2025-07-13,West,Alpha,6249.38,909.12,23
2025-07-20,North,Gamma,6292.03,1214.21,43
2025-07-27,South,Beta,6952.62,878.34,7
2025-08-03,East,Alpha,5975.6,1167.29,49
2025-08-10,West,Alpha,7704.24,1453.34,17
2025-08-17,North,Alpha,5642.41,583.96,54
2025-08-24,South,Alpha,9224.2,814.71,32
2025-08-31,East,Gamma,6710.8,618.02,24
2025-09-07,West,Beta,4931.41,405.3,32
2025-09-14,North,Gamma,4674.93,426.98,12
2025-09-21,South,Beta,6538.97,1059.06,45
2025-09-28,East,Alpha,5811.84,514.6,43
2025-10-05,West,Gamma,6936.8,820.46,5
2025-10-12,North,Gamma,6647.89,1205.83,7
2025-10-19,South,Beta,5992.61,496.14,17
2025-10-26,East,Gamma,5063.85,900.03,32
2025-11-02,West,Beta,4262.18,485.13,53
2025-11-09,North,Beta,5544.18,522.15,29
2025-11-16,South,Beta,7107.68,1162.88,37
2025-11-23,East,Alpha,6336.91,985.22,42
2025-11-30,West,Alpha,4585.11,849.61,57
2025-12-07,North,Alpha,6407.82,1077.85,10
2025-12-14,South,Beta,6662.38,1175.36,48
2025-12-21,East,Alpha,5139.37,585.09,49
2025-12-28,West,Beta,6384.47,646.7,36
2026-01-04,North,Delta,6269.85,1066.34,49
2026-01-11,South,Alpha,4828.44,853.77,51
2026-01-18,East,Beta,6629.34,1318.31,25
2026-01-25,West,Gamma,6872.94,890.14,20
2026-02-01,North,Alpha,7499.66,934.77,58
2026-02-08,South,Alpha,7464.56,1292.63,25
2026-02-15,East,Alpha,4666.8,564.2,15
2026-02-22,West,Alpha,5194.61,995.76,41
2026-03-01,North,Delta,6938.04,1269.73,40
2026-03-08,South,Gamma,6936.54,912.01,39
2026-03-15,East,Beta,6938.06,1180.2,23
2026-03-22,West,Gamma,10943.28,1866.32,24
2026-03-29,North,Gamma,7005.07,647.09,22
2026-04-05,South,Alpha,7682.68,1446.7,51
2026-04-12,East,Gamma,7464.8,1049.78,45
2026-04-19,West,Beta,7101.67,1272.44,53
2026-04-26,North,Gamma,6061.68,717.74,18
2026-05-03,South,Gamma,7350.76,1377.99,19
2026-05-10,East,Alpha,5512.61,698.47,35
2026-05-17,West,Alpha,6155.82,500.47,5
2024-02-11,South,Alpha,4718.5,712.02,32
2024-05-26,North,Beta,5009.17,837.19,57
